,title,review
58,악당의 아빠를 꼬셔라 4 (캐릭터 책갈피 1종 + 클리어 스탠드 1종 + 아코디언 엽서 + 금박 미니 포스터 4종 + 아크릴 키링 + 박스 포함 한정판),이번에는 취소당하는일 없었으면좋겠네요 그날 너무 짜증이나고 억울하던지 너무 실망했지만 이번에는 그럴일없을꺼라고 생각합니다
59,헤어질 결심 각본,당신의 영화가 끝나고 내 사랑이 시작됐죠
60,산괴 1,이북은 언제 나오려나.. 에이케이커뮤니니케이션즈 출판사에서 나온 책은 다 재밌더라구요..
61,흑설공주 이야기,일과 관련 다양한 책을 접할 수 있어 괜찮다.
62,약캐 토모자키 군 10,어 EBOOK 나오면 살거야~
63,우리는 어디서 살아야 하는가,부동산의 살 것 Live 살것 buy에 대한 눈을 뜨게 만드는 공부되는 책입니다. 👍
64,장송의 프리렌 1,이게 진짜 웰메이드 판타지
65,,따로 3점 기출 4점 기출 걸러서 풀 필요 없이 이 책 한권으로 다 해결돼서 정말 좋아요!
66,천일문 기본 Basic 1001 Sentences,책은 좋은데 스프링 분철이 잘못돼서 왔어요 ㅜㅜ 추가한건데 화가나네요
67,2023 최신판 에듀윌 취업 공기업기출 일반상식,공기업일반상식 총정리 자료예요. 기출이 많이 들어있어서 공부방향 잡는데 좋았어요 [서평단 이벤트 참여]
68,형법사례해설,"답안의 정갈함을 여타 사례집과 비교할 수 없습니다. 쓸데없는 학설 등을 다 빼셨고 조문, 법리, 판례로만 답안을 구성하십니다. 저만 알고싶은 명저입니다. 정말 좋습니다."
69,탁월함의 그릇,탁월한 이들은 어떻게 목표를 성취하는가? 저자는 ˝잠재력을 200% 끌어내는 30가지 법칙˝ 성취를 위해 해야 할 일들을 설명해준다. 자신의 ‘탁월함의 노력‘의 경험이 그의 설명의 배경이라 높은 설득력을 갖추고 있다.
70,"역광의 여인, 비비안 마이어","사진으로만 알 수 있는 한 작가의 삶과 그 시선을 알 수 있게 해주는, 그것도 작가의 사진다운 어조로 말해 주는 책."
71,거의 모든 전쟁의 역사,"원문이 그런건지, 번역이 그런건지 문장의 논지를 이해하기가 쉽지 않네요. 주제는 흥미로우나... 풀어내는 방식은 지루하고 과연 그런가 하는 의문이 들게합니다."
72,비비드 패션 연구실,너무너무 좋아요 특전 핑쿠색 미쳐버림 ㅠㅠ진짜 배송은 너무너무너무 늦었지만 만족해요불량같은게 6개중에 1개왔지만ㅠㅠ
73,손흥민 월드와이드 팬북,아들이 축구에 관심있어하길래 구입해보았어요브로마이드랑 카드 다 좋아하네요
74,로마로 가는 길,배낭에 꽂힌 사랑스런 핑크꽃사진이 너무 인상깊네요~ 너무 기대됩니다^^ 책속에 꿈꾸던 로마가있네요
75,얼토당토않고 불가해한 슬픔에 관한 1831일의 보고서,"사이즈가 큰 슬픔을 겪은 이에겐 행복이란 말이 낯설다. 슬픔 센서가 발달한 현수 그리고 나름의 슬픈 구석을 지닌 수민과 서선생님, 빛나와 빛나엄마. 나름의 행복? 그 비슷한걸 찾을 수 있단 희망이 보였다. 나도 너도 인스타 속 기쁨 자체도 다 ᆢ슬픔의 정량을 채울 운명이라면 위안이다."
76,김미영입니다. 승진했어요!,워킹맘이자 1인 출판사 대표로서 자신의 ‘버킷리스트‘를 채워 가는 김미영대표님 응원합니다~ 남자지만 공감 많이 됩니다. 대한민국 워킹맘들 화이팅!!
77,아이는 얼마나 중요한가,"더이상 사랑스러운 아이가 여성의 커리어, 꿈을 앗아가는 존재가 되지않도록 모두의 관심이 필요하다."
78,"김용균, 김용균들",이 책이 과거인 미래를 향합니다..
79,스마일맨,이번 여름에 발견한 재미있는 책!! 삶에 대한 다양한 이야기가 너무 좋았어요!!
80,엄마는 해녀입니다 (양장),호오이... 호오이... 숨비소리...호오이... 호오이... 엄마가 살아있다는 소리...
81,신사고 쎈 초등 수학 4-1 (2022년),문제가 너무 많아서 아이들이 질리거나 싫어할수 있다고 들었었는데 저희아이는 생각보다 힘들다하지 않더라구요.문제유형이 다양해서 이거 한권풀면 다른건필요없을것같아요
82,원칙과 소신의 대통령 윤석열,"펄프 낭비, 환경파괴. 고작 이것을 위해 나무는 왜 베여야했는가."
83,"김용균, 김용균들",그 어느 것보다 사람 목숨이 우선인 사회가 오기를. 이게 당연한 나라가 되기를.
84,반전이 있는 미국사,미국이 갖고 있는 장.단점을 쉽게 잘 담고 있다.청소년 필독서지만 어른들도 가볍게 읽기 좋은 듯하다.
85,알싸한 기린의 세계,화자는 작가1님이지만 그냥 내 인생의 순간들을 담았다해도 과언이 아닌 작품. 기분 전환하고 싶을 때 읽습니다. 볼수록 힘이 나거든요.
86,투르말린 공주,표지부터 호기심 가득한 책이었는데 어린이들이 읽기에 창의성 발달에 도움이 될 것 같아요! 우리 아기는 아직 많이 어리지만 그림 보여주면서 엄마의 목소리 들려주고 있어요. 색감이나 디자인이 너무 멋스럽고 다양성을 표현한 것 같아 잘 봤어요!!
87,야금야금 공부해 한번에 합격 JLPT N4/N5,"장점: 깔끔하고 정리가 잘되어있어 상당히 유익하다. 3급 4급/4급 5급 식으로 묶여 있어서 돈도 절약하고 과거에 봤던 문법도 그냥 넘겨보면 쉽게 알수 있어서 좋다... 3급까진 썼던거를 쓰기에 좋아요 단점: 다른 타사 교재도 물론 그렇지만, 이책의 경우 해설이 따로 없어 조금 불편"
88,인생은 짧고 월요일은 길지만 행복은 충분해,따뜻한 공감과 위로가 묻어나는 인생의 의미에 답해주는 책입니다.
89,내 사주에 재물운이 있을까?,별1개 짜리 책은 절대 아님
90,녹색전상 1~3 세트 - 전3권 (아크릴스탠드 + 4단엽서 + 아크릴 필름마크 2종 + 스티커 3종 + 한정 엽서 4종 + 초판 엽서 3종 포함 한정판),소장가치 백프로입니다 어여 구매하세요 후회없을거예요 폰으로보다 책으로 보니 표현못할 감동이네요 ㅠㅠ 작화가 아주 정말 ㅠㅠ 작가님 사랑합니다 ㅎㅎ
91,고대 그리스에서 1년 살기,고대 그리스를 상상해볼 수 있는 최고의 책이네요. 신화와 역사 사이를 줄다리기 합니다.아무리 읽어도 또 잊어버리는 그 주역의 인물들을 소설로 만납니다~
92,이토록 공부가 재미있어지는 순간,공부책에서 힐링 받기는 또 처음 ㅜㅜ 무한신뢰가 저절로 생기는 신기한 책이에요~~~
